"","IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP"
"1",25,11,"BNSF","KS1125105",25,11,"CPKC","ZZZZZZZZZZ",25,11,"BNSF","KS1125105","","",25,11,12,5,10,"AM",1,0,0,0,"0","","KANSAS CITY","4.7",20,45
"2",25,11,"CRSH","147080",NA,NA,"","",25,11,"CRSH","147080","","",25,11,2,12,32,"PM",1,0,0,0,"0","","NEWARK","1",34,65
"3",25,11,"CSX","000228043",NA,NA,"","",25,11,"CSX","000228043","","",25,11,6,5,38,"AM",1,4,0,0,"0","","INDIANAPOLIS","0009.0",18,32
"4",25,11,"BRC","14978",NA,NA,"","",25,11,"BRC","14978","","",25,11,29,3,30,"PM",1,1,0,0,"0","","BEDFORD PARK","9",17,29
"5",25,11,"NS","161663",NA,NA,"","",25,11,"NS","161663","","",25,11,9,12,20,"AM",13,2,0,0,"0","","CHATTANOOGA","335",47,55
"6",25,11,"BNSF","RD1125115",NA,NA,"","",25,11,"BNSF","RD1125115","","",25,11,27,5,5,"AM",1,0,0,0,"0","","TEMPLE","218.6",48,50
"7",25,11,"BNSF","KS1125117",NA,NA,"","",25,11,"BNSF","KS1125117","","",25,11,25,10,0,"AM",1,0,0,0,"0","","KANSAS CITY","4.9",20,54
"8",25,11,"NIRC","9419003090",NA,NA,"","",25,11,"NIRC","9419003090","","478752W",25,11,20,8,1,"AM",7,0,0,0,"0","","CHICAGO","12.87",17,47
"9",25,11,"BNSF","NW1125104",NA,NA,"","",25,11,"BNSF","NW1125104","","",25,11,3,4,30,"PM",1,4,4,0,"0","","PASCO","143.4",53,55
"10",25,11,"GRW","GRW0025F",NA,NA,"","",25,11,"GRW","GRW0025F","","NOTASGN",25,11,30,7,50,"AM",1,0,0,0,"0","","GARY","0.0",18,30
"11",25,11,"BNSF","KS1125114",NA,NA,"","",25,11,"BNSF","KS1125114","","",25,11,24,2,9,"AM",1,0,0,0,"0","","ETTER","64.9",48,44
"12",25,11,"NS","161812",NA,NA,"","",25,11,"NS","161812","","",25,11,30,3,28,"AM",1,0,0,0,"0","","NORTH KANSAS CITY","272",29,30
"13",25,11,"IMRR","IMR334325O",25,11,"BNSF","CH1125-112",25,11,"IMRR","IMR334325O","","",25,11,30,6,15,"PM",1,0,0,0,"0","","PEKIN","12.28",17,27
"14",25,11,"BNSF","CH1125107",NA,NA,"","",25,11,"BNSF","CH1125107","","",25,11,14,3,25,"PM",1,0,0,0,"0","","CENTRALIA","119.5",17,62
"15",25,11,"NS","161663",NA,NA,"","",25,11,"NS","161663","","",25,11,9,12,20,"AM",13,18,3,0,"0","","CHATTANOOGA","335",47,55
"16",25,11,"BNSF","CA1125104",NA,NA,"","",25,11,"BNSF","CA1125104","","",25,11,15,11,47,"AM",9,0,0,0,"0","","SANTA FE SPRINGS","153.3",6,56
"17",25,11,"BNSF","HL1125106",NA,NA,"","",25,11,"BNSF","HL1125106","","",25,11,8,1,59,"AM",1,0,0,0,"0","","MEMPHIS","496.1",47,60
"18",25,11,"CPKC","1002501843",NA,NA,"","",25,11,"CPKC","1002501843","","",25,11,9,6,22,"AM",13,4,0,0,"0","","BEASLEY","903.5",48,65
"19",25,11,"BNSF","CH1125107",NA,NA,"","",25,11,"BNSF","CH1125107","","",25,11,14,3,25,"PM",1,0,0,0,"0","","CENTRALIA","119.5",17,62
"20",25,11,"BNSF","KS1125117",NA,NA,"","",25,11,"BNSF","KS1125117","","",25,11,25,10,0,"AM",1,0,0,0,"0","","KANSAS CITY","4.9",20,54
"21",25,11,"BNSF","CH1125113",NA,NA,"","",25,11,"BNSF","CH1125113","","",25,11,23,2,46,"AM",13,0,0,0,"0","","ELWOOD","1.5",17,40
"22",25,11,"BNSF","CH1125113",NA,NA,"","",25,11,"BNSF","CH1125113","","",25,11,23,2,46,"AM",13,0,0,0,"0","","ELWOOD","1.5",17,40
"23",25,11,"BNSF","RD1125115",NA,NA,"","",25,11,"BNSF","RD1125115","","",25,11,27,5,5,"AM",1,0,0,0,"0","","TEMPLE","218.6",48,50
"24",25,11,"BEAR","BER342825O",25,11,"CSX","000228307",25,11,"BEAR","BER342825O","","",25,11,23,7,0,"AM",1,0,0,0,"0","","AYER","316",25,30
"25",25,11,"CPKC","1002498636",NA,NA,"RCPE","",25,11,"CPKC","1002498636","","",25,11,3,3,0,"PM",9,0,0,0,"0","","GARVIN","227",27,50
"26",25,11,"SEPA","SEPA110325",NA,NA,"","",25,11,"ATK","190626","","",25,11,3,7,33,"PM",9,0,0,0,"0","","EXTON","27.5",42,55
"27",25,11,"BNSF","PR1125108",NA,NA,"","",25,11,"BNSF","PR1125108","","",25,11,16,11,10,"PM",13,0,0,0,"0","","CHEYENNE","119.6",56,45
"28",25,11,"IHB","20252978",25,11,"ZCVD","INDUSTRY",25,11,"IHB","20252978","","",25,11,27,2,40,"AM",1,0,0,0,"0","","EAST CHICAGO","502",18,28
"29",25,11,"ATK","190072",NA,NA,"","",25,11,"ATK","190072","","",25,11,21,12,30,"PM",13,0,0,0,"0","","PHILADELPHIA","0000.0",42,0
"30",25,11,"NS","161712",NA,NA,"","",25,11,"NS","161712","","",25,11,12,1,15,"PM",1,0,0,0,"0","","CHICAGO","510.5",17,56
"31",25,11,"ATK","190233",NA,NA,"","",25,11,"CN","1733063","","",25,11,30,1,38,"PM",1,0,0,0,"0","","JUSTICE","15.3",17,27
"32",25,11,"BNSF","PR1125106",NA,NA,"","",25,11,"BNSF","PR1125106","","",25,11,15,1,57,"AM",1,0,0,0,"0","","GUERNSEY","89.9",56,36
"33",25,11,"FEC","X51110125",25,11,"BLF","20251582",25,11,"FEC","X51110125","","272101L",25,11,1,1,53,"PM",7,0,0,0,"0","","ROCKLEDGE","175.02",12,83
"34",25,11,"NS","161712",NA,NA,"","",25,11,"NS","161712","","",25,11,12,1,15,"PM",1,0,0,0,"0","","CHICAGO","510.5",17,56
"35",25,11,"NS","161712",NA,NA,"","",25,11,"NS","161712","","",25,11,12,1,15,"PM",1,0,0,0,"0","","CHICAGO","510.5",17,56
"36",25,11,"BNSF","TC1125101",NA,NA,"","",25,11,"BNSF","TC1125101","","",25,11,8,12,57,"PM",1,0,0,0,"0","","FRIDLEY","14.0",27,37
"37",25,11,"FEC","X53111525",25,11,"BLF","20251655",25,11,"FEC","X53111525","","272375M",25,11,15,7,32,"AM",7,0,0,0,"0","","JUPITER","282.43",12,71
"38",25,11,"MNCW","86672",NA,NA,"","",25,11,"MNCW","86672","","",25,11,2,1,22,"AM",11,0,0,0,"0","","RYE","22.9",36,45
