"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3","SUBDIV"
25,11,"BNSF","KS1125117",NA,NA,"","",25,11,"BNSF","KS1125117",NA,"",25,11,25,10,0,"AM",1,0,0,0,0,NA,"KANSAS CITY","4.9",20,54,2,2,0,"R","JCUT",4,"8,921","6","N","4022","1","0",2,"FURX","120771",57,"Y","",NA,0,"",0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,"29,700","0","T207","",0,0,0,0,"T207",2,"1",7,"164,284",NA,"20C209",0,0,0,0,0,0,0,NA,NA,NA,NA,3,6,NA,"1",NA,"",NA,"225",NA,2025,0,0,0,0,0,0,"WYANDOTTE",209,NA,NA,NA,"N","4288",NA,"H-KCKALT1-25A WAS DEPARTING WESTBOUND IN YARD TRACK 4022 AND DERAILED 7 RAILCARS DUE TO BROKEN RAIL","- DETAIL FRACTURE FROM SHELLING OR HEAD CHECK AND IMPACTING 1 SINGLE RAILCAR IN ADJACENT YARD TRACK","4023. NO HAZMAT RELEASED.","","","","","","","","","","","","",0,39.079039,-94.666193,2,5,"K","","","EMPORIA"
25,11,"BNSF","KS1125117",NA,NA,"","",25,11,"BNSF","KS1125117",NA,"",25,11,25,10,0,"AM",1,0,0,0,0,NA,"KANSAS CITY","4.9",20,54,2,2,7,"E","HKCK",4,"11,322","1","Y","4022","1","0",2,"PROX","221485",20,"Y","",NA,0,"",1,0,0,0,1,0,0,0,0,0,101,0,12,0,0,7,0,0,0,0,"53,132","81,452","T207","",0,0,0,0,"T207",2,"1",7,"164,284",NA,"20C209",0,0,0,1,0,1,0,2,NA,2,NA,1,6,NA,"1",NA,"",NA,"225",NA,2025,0,0,0,0,0,0,"WYANDOTTE",209,NA,NA,NA,"N","7785",2,"H-KCKALT1-25A WAS DEPARTING WESTBOUND IN YARD TRACK 4022 AND DERAILED 7 RAILCARS DUE TO BROKEN RAIL","- DETAIL FRACTURE FROM SHELLING OR HEAD CHECK AND IMPACTING 1 SINGLE RAILCAR IN ADJACENT YARD TRACK","4023. NO HAZMAT RELEASED.","","","","","","","","","","","","",0,39.079039,-94.666193,2,5,"K","","","EMPORIA"
25,11,"CRSH","147080",NA,NA,"","",25,11,"CRSH","147080",NA,"",25,11,2,12,32,"PM",1,0,0,0,0,NA,"NEWARK","1",34,65,2,1,5,"E","OI82",4,"0","7","Y","HIGHSIDE/LOWSIDE","1","0000",2,"CBTX","784866",5,"Y","",NA,0,"",2,0,0,0,0,0,0,0,0,0,51,0,24,0,0,0,0,0,0,0,"13,966","60,483","H702","",0,0,0,0,"H702",2,"1",5,"74,449",NA,"34C013",0,0,0,1,0,1,0,4,32,4,32,1,1,NA,"Cl",NA,"",NA,"71",NA,2025,0,0,0,0,0,0,"ESSEX",13,0,0,NA,"N","4721",1,"TRAIN DERAILED FIVE RAILCARS IN YARD DUE TO AN IMPROPERLY LINED SWITCH.","","","","","","","","","","","","","","",0,40.704693,-74.130041,2,5,"K","","","NORTH JERSEY"
25,11,"NS","161663",NA,NA,"","",25,11,"NS","161663",NA,"",25,11,9,12,20,"AM",13,18,3,0,0,NA,"CHATTANOOGA","335",47,55,4,2,2,"E","AC26",1,"0","7","Y","MIDDLE TO WEST CROSS","1","",2,"GBRX","707007",24,"Y","",NA,0,"",2,0,0,0,0,0,0,0,0,0,25,0,58,0,0,3,0,0,0,0,"25,500","0","H702","",0,0,0,0,"H702",2,"1",2,"31,300",NA,"47C065",0,0,0,1,0,1,0,8,50,8,50,3,3,NA,"1",NA,"",NA,"429",NA,2025,0,0,0,0,0,0,"HAMILTON",65,0,0,NA,"N","4714",1,"CONVENTIONAL HUMP JOB AC26 SHOVING NORTH OUT OF RT09 UP THE MIDDLE RAN THROUGH THE NORTH END OF THE","MIDDLE TO WEST CROSSOVER SWITCH DUE TO THE CONDUCTOR FAILING TO LINE THE SWITCH FOR THE INTENDED MOV","EMENT WHILE SHOVING OVER THE HUMP TO EASE A CAR OFF IN CT25. WHEN PULLING SOUTH 3 CARS DERAILED ON T","HE RUN THROUGH SWITCH STRIKING THE LEAD LOCOMOTIVE ON TRAIN 368G107 THAT WAS STOPPED ON THE WEST INB","OUND. THERE WERE NO INJURIES.","","","","","","","","","","",0,35.060735,-85.2668,2,5,"K","","","CNO&TP SOUTH"
25,11,"BNSF","RD1125115",NA,NA,"","",25,11,"BNSF","RD1125115",NA,"",25,11,27,5,5,"AM",1,0,0,0,0,NA,"TEMPLE","218.6",48,50,1,1,3,"E","YTPL",1,"0","8","Y","0199","1","0",2,"BNSF","005038",3,"","",NA,0,"",3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,110","0","H306","",0,0,0,0,"H306",2,"1",3,"15,918",NA,"48C027",0,0,0,1,0,1,0,6,35,6,35,3,5,NA,"1",NA,"",NA,"169",NA,2025,0,0,0,0,0,0,"BELL",27,NA,NA,NA,"N","219",2,"Y-TPL3051-26A WAS SHOVING LIGHT ENGINE CONSIST INTO YARD TRACK AND STRUCK THE H-TULTPL1-25A AND DERA","ILING 1 LOCOMOTIVE IN THEIR LIGHT ENGINE CONSIST. NO HAZMAT RELEASED.","","","","","","","","","","","","","",0,31.104593,-97.348995,2,5,"K","","","FT WORTH"
25,11,"FEC","X53111525",25,11,"BLF","20251655",25,11,"FEC","X53111525",NA,"272375M",25,11,15,7,32,"AM",7,0,0,0,0,NA,"JUPITER","282.43",12,71,1,1,0,"","",2,"0","","","EAST MAIN","4","8.6",1,"","",0,"","",NA,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","535","M308","",0,0,0,1,"M308",1,"4",40,"12,535",NA,"12C099",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,"2",NA,"",NA,"318",NA,2025,0,0,0,0,0,0,"PALM BEACH",99,NA,NA,NA,"","",NA,"BLF720 WAS TRAVELING SOUTHBOUND ON THE EAST MAIN WHEN THEY OBSERVED A VEHICLE RUN THROUGH THE DOWN G","ATES AT MP282.43. THE ENGINEER SOUNDED THE HORN AND PLACED THE TRAIN INTO EMERGENCY PRIOR TO STRIKIN","G THE VEHICLE. ONE OF THE PASSENGERS SUSTAINED INJURIES AND WAS TRANSPORTED TO THE HOSPITAL. BLF DAM","AGE COST: $12,000.","","","","","","","","","","","",NA,26.949748,-80.088501,1,1,"B","Q","","SYSTEM"
25,11,"FEC","X51110125",25,11,"BLF","20251582",25,11,"FEC","X51110125",NA,"272101L",25,11,1,1,53,"PM",7,0,0,0,0,NA,"ROCKLEDGE","175.02",12,83,2,1,0,"","",2,"0","","","WEST MAIN","6","8.6",1,"","",0,"","",NA,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","611","M308","",0,0,0,2,"M308",1,"6",86,"62,490",NA,"12C009",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,"2",NA,"",NA,"348",NA,2025,0,0,0,0,0,0,"BREVARD",9,NA,NA,NA,"","",NA,"BLF703 WAS TRAVELING SOUTHBOUND ON THE WEST MAIN WHEN A VEHICLE TRAVELING EAST TO WEST AT MP175.02,","DROVE THROUGH THE GATES AND ONTO THE SIDE OF THE LEAD LOCOMOTIVE. THE ENGINEER WAS ALREADY BLOWING T","HE HORN FOR THE CROSSING AND IMMEDIATELY PLACED THE TRAIN INTO EMERGENCY. BOTH THE DRIVER AND PASSEN","GER SUSTAINED INJURIES. BLF DAMAGE COST: $61,879","","","","","","","","","","","",NA,28.330737,-80.723039,1,1,"B","Q","","SYSTEM"
25,11,"NS","161772",NA,NA,"","",25,11,"NS","161772",NA,"719070F",25,11,22,7,0,"AM",7,17,0,0,0,NA,"DALTON","037.28",13,60,1,2,31,"R","373G",1,"9,843","1","Y","SINGLE MAIN TRACK","4","65",1,"NS","001199",1,"N","",NA,0,"",1,0,0,0,1,0,0,0,0,0,76,0,5,0,0,0,0,0,0,0,"7,724","12,000","M303","",0,1,0,1,"M303",1,"4",31,"19,724",NA,"13C313",1,0,0,1,0,2,0,5,30,5,30,1,3,NA,"1",NA,"",NA,"120",NA,2025,0,1,0,0,0,0,"WHITFIELD",313,NA,NA,NA,"N","5041",2,"NS TRAIN 373G122 COMING SOUTH FROM CHATTANOOGA TO ATLANTA STRUCK AN UNOCCUPIED SEMI-TRAILER TRUCK ST","UCK ON THE CROSSING.","","","","","","","","","","","","","",0,34.810085,-84.967398,1,1,"J","","","COASTAL"
25,11,"BNSF","CH1125112",NA,NA,"","",25,11,"IMRR","IMR334325O",NA,"",25,11,30,6,15,"PM",1,0,0,0,0,NA,"PEKIN","12.2",17,27,3,2,5,"R","CNAM",2,"19,193","1","Y","2","1","0",2,"CAEG","826082",125,"Y","",NA,0,"",2,0,0,0,1,0,0,0,0,0,135,0,0,0,0,5,0,0,0,0,"74,999","0","T314","",0,0,0,0,"E64C",2,"1",5,"169,384",NA,"17C179",0,0,0,1,0,1,0,10,30,10,30,2,4,NA,"1",NA,"",NA,"109",NA,2025,0,0,0,0,0,0,"TAZEWELL",179,NA,NA,NA,"N","7166",2,"C-NAMPEK0-84A WAS PULLING INTO IMRR YARD AND DERAILED 5 RAILCARS DUE BROKEN SWITCH POINT. NO HAZMAT","RELEASED.","","","","","","","","","","","","","",0,40.5275,-89.689722,2,5,"K","","","SPRINGFIELD"
25,11,"NS","161733",NA,NA,"","",25,11,"NS","161733",NA,"718388B",25,11,18,4,8,"PM",7,0,0,0,0,NA,"CONLEY","162.45",13,68,3,2,27,"R","24AG",1,"3,077","1","Y","SINGLE MAIN TRACK","4","535",1,"NS","003612",1,"N","",NA,0,"",3,0,0,0,0,0,0,0,0,0,55,0,7,0,0,0,0,0,0,0,"6,183","25,000","M303","",0,0,0,0,"M303",1,"4",27,"31,183",NA,"13C063",0,0,0,1,0,1,0,4,30,4,30,1,3,NA,"1",NA,"",NA,"84",NA,2025,0,0,0,0,0,0,"CLAYTON",63,NA,NA,NA,"N","10221",2,"NS TRAIN 24AG218 STRUCK AN UNOCCUPIED TRUCK TRAILER STOPPED ON A HWY-GRADE CROSSING.","","","","","","","","","","","","","","",0,33.644843,-84.325517,1,1,"J","","","COASTAL"
