name,year,age,country,category
Gerty Radnitz-Cori,1947,51,Austria-Hungary[a],Physiology or Medicine
Rosalyn Yalow,1977,56,United States,Physiology or Medicine
Barbara McClintock,1983,81,United States,Physiology or Medicine
Rita Levi-Montalcini,1986,77,Kingdom of Italy[b],Physiology or Medicine
Gertrude Belle Elion,1988,70,United States,Physiology or Medicine
Christiane Nüsslein-Volhard,1995,53,Nazi Germany[c],Physiology or Medicine
Linda Buck,2004,57,United States,Physiology or Medicine
Françoise Barré-Sinoussi,2008,61,French Fourth Republic[d],Physiology or Medicine
Elizabeth Blackburn,2009,61,Australia,Physiology or Medicine
Carolyn Greider,2009,48,United States,Physiology or Medicine
May-Britt Moser,2014,51,Norway,Physiology or Medicine
Tú Yōuyōu,2015,85,People's Republic of China[e],Physiology or Medicine
Katalin Karikó,2023,68,Hungarian People's Republic[f],Physiology or Medicine
Mary Brunkow,2025,64,United States,Physiology or Medicine
Marie Skłodowska-Curie,1903,36,Russian Empire[g],Physics
Maria Göppert Mayer,1963,57,German Empire[g],Physics
Donna Strickland,2018,59,Canada,Physics
Andrea Mia Ghez,2020,55,United States,Physics
Anne L’Huillier,2023,65,French Fourth Republic[d],Physics
Marie Skłodowska-Curie,1911,44,Russian Empire[g],Chemistry
Irène Joliot-Curie,1935,38,French Third Republic[d],Chemistry
Dorothy Crowfoot Hodgkin,1964,54,Khedivate of Egypt[h],Chemistry
Ada Yonath,2009,70,Mandatory Palestine[i],Chemistry
Frances Arnold,2018,62,United States,Chemistry
Emmanuelle Charpentier,2020,52,France,Chemistry
Jennifer Doudna,2020,56,D.C.  United States,Chemistry
Carolyn Bertozzi,2022,56,United States,Chemistry
Selma Lagerlöf,1909,51,United Kingdoms of Sweden and Norway[j],Literature
Grazia Deledda,1926,55,Kingdom of Italy[b],Literature
Sigrid Undset,1928,46,Denmark,Literature
Pearl Buck,1938,46,United States,Literature
Gabriela Mistral,1945,56,Chile,Literature
Nelly Sachs,1966,75,German Empire[c],Literature
Nadine Gordimer,1991,68,Union of South Africa[k],Literature
Toni Morrison,1993,62,United States,Literature
Wisława Szymborska,1996,73,Second Polish Republic[g],Literature
Elfriede Jelinek,2004,58,Austria,Literature
Doris Lessing,2007,88,Guarded Domains of Iran[l],Literature
Herta Müller,2009,56,Romanian People's Republic[m],Literature
Alice Munro,2013,82,Canada,Literature
Svetlana Alexievich,2015,67,Soviet Union[n],Literature
Olga Tokarczuk,2018,56,Poland,Literature
Louise Glück,2020,77,United States,Literature
Annie Ernaux,2022,82,Military Administration in France[d],Literature
Han Kang,2024,54,South Korea,Literature
Bertha von Suttner,1905,62,Austrian Empire[a],Peace
Jane Addams,1931,71,United States,Peace
Emily Greene Balch,1946,79,United States,Peace
Betty Williams,1976,33,United Kingdom,Peace
Mairead Maguire,1976,32,United Kingdom,Peace
Anjezë Gonxhe Bojaxhiu (rel. name: Mother Teresa),1979,69,Ottoman Empire[p],Peace
Alva Myrdal,1982,80,United Kingdoms of Sweden and Norway[j],Peace
Aung San Suu Kyi,1991,46,State of Burma[q],Peace
Rigoberta Menchú,1992,33,Guatemala,Peace
Jody Williams,1997,47,United States,Peace
Shirin Ebadi,2003,56,Imperial State of Iran[l],Peace
Wangarĩ Maathai,2004,64,Colony and Protectorate of Kenya[r],Peace
Ellen Johnson Sirleaf,2011,73,Liberia,Peace
Leymah Gbowee,2011,39,Liberia,Peace
Tawakkol Karman,2011,32,Yemen Arab Republic[s],Peace
Malala Yousafzai,2014,17,Pakistan,Peace
Nadia Murad,2018,25,Iraqi Republic[t],Peace
Maria Ressa,2021,58,Philippines,Peace
Narges Mohammadi,2023,51,Imperial State of Iran[l],Peace
María Corina Machado,2025,58,Venezuela,Peace
Elinor Ostrom,2009,76,United States,Economic Sciences
Esther Duflo,2019,47,France,Economic Sciences
Claudia Goldin,2023,77,United States,Economic Sciences
